,Item Name,2020 CPT Code,Average Charge,Hospital Name,lat,lon,Source
28,Basic Metabolic Panel,80048.0,250.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
29,"Blood Gas Analysis, including 02 saturation",82805.0,464.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
30,"Complete Blood Count, automated",85027.0,150.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
31,"Complete Blood Count, with differential WBC, automated",85025.0,106.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
32,Comprehensive Metabolic Panel,80053.0,300.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
33,"Creatine Kinase (CK), (CPK), Total",82550.0,209.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
34,Lipid Panel,80061.0,204.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
35,Partial Thromboplastin Time,85730.0,191.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
36,Thyroid Stimulating Hormone,84443.0,219.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
37,"Troponin, Quantitative",84484.0,250.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
38,"CT Scan, Head or Brain, without contrast",70450.0,3000.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
39,"Ultrasound, OB, 14 weeks or more, transabdominal",76805.0,1226.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
40,"X-Ray, Lower Back, minimum four views",72110.0,879.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
41,"X-Ray, Chest, two views",71046.0,637.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
42,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881.0,29028.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
43,"Endoscopy, Upper GI, with biopsy",43239.0,21026.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
44,"Hernia Repair, Inguinal, 5 years and older",49505.0,19445.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
45,Laparoscopic Cholecystectomy,47562.0,42648.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
46,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436.0,13854.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
47,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820.0,17772.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
48,"Emergency Room Visit, Level 2 (low to moderate severity)",99282.0,766.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
49,"Emergency Room Visit, Level 3 (moderate severity)",99283.0,1310.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
50,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284.0,1759.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
51,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285.0,1934.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
52,"Outpatient Visit, established patient, 15 minutes",99213.0,218.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
53,Basic Metabolic Panel,80048.0,138.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
54,"Complete Blood Count, automated",85027.0,54.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
55,"Complete Blood Count, with differential WBC, automated",85025.0,62.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
56,Comprehensive Metabolic Panel,80053.0,198.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
57,"Creatine Kinase (CK), (CPK), Total",82550.0,65.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
58,Lipid Panel,80061.0,209.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
59,Partial Thromboplastin Time,85730.0,88.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
60,Prothrombin Time,85610.0,70.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
61,Thyroid Stimulating Hormone,84443.0,148.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
62,"Troponin, Quantitative",84484.0,185.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
63,"CT Scan, Abdomen, with contrast",74160.0,2396.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
64,"CT Scan, Head or Brain, without contrast",70450.0,1590.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
65,"CT Scan, Pelvis, with contrast",72193.0,3533.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
66,"MRI, Brain, without contrast, followed by contrast",70553.0,6787.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
67,"Ultrasound, Abdomen, Complete",76700.0,779.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
68,"X-Ray, Lower Back, minimum four views",72110.0,1105.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
69,"X-Ray, Chest, two views",71046.0,845.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
70,"Cardiac Catheterization, Left Heart, percutaneous ",93452.0,12638.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
71,"Echocardiography, Transthoracic, complete, without Doppler",93307.0,609.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
72,"Inhalation Treatment, pressurized or nonpressurized",94640.0,255.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
73,"Physical Therapy, Gait Training",97116.0,176.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
74,"Physical Therapy, Therapeutic Exercise",97110.0,176.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
75,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483.0,1264.0,Childrens Hospital of Los Angeles,34.0979531,-118.2901202,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
76,"Emergency Room Visit, Level 2 (low to moderate severity)",99282.0,956.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
77,"Emergency Room Visit, Level 3 (moderate severity)",99283.0,1770.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
78,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284.0,4630.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
79,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285.0,5939.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
80,"Outpatient Visit, established patient, 15 minutes",99213.0,360.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
81,Basic Metabolic Panel,80048.0,628.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
82,"Blood Gas Analysis, including 02 saturation",82805.0,923.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
83,"Complete Blood Count, automated",85027.0,159.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
84,"Complete Blood Count, with differential WBC, automated",85025.0,272.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
85,Comprehensive Metabolic Panel,80053.0,686.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
86,"Creatine Kinase (CK), (CPK), Total",82550.0,219.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
87,Lipid Panel,80061.0,461.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
88,Partial Thromboplastin Time,85730.0,296.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
89,Prothrombin Time,85610.0,236.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
90,Thyroid Stimulating Hormone,84443.0,483.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
91,"Troponin, Quantitative",84484.0,333.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
92,"CT Scan, Abdomen, with contrast",74160.0,5514.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
93,"CT Scan, Head or Brain, without contrast",70450.0,5131.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
94,"CT Scan, Pelvis, with contrast",72193.0,5513.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
95,"Mammography, Screening, Bilateral",77067.0,319.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
96,"MRI, Brain, without contrast, followed by contrast",70553.0,9834.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
97,"Ultrasound, Abdomen, Complete",76700.0,2623.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
98,"Ultrasound, OB, 14 weeks or more, transabdominal",76805.0,1804.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
99,"X-Ray, Lower Back, minimum four views",72110.0,1091.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
100,"X-Ray, Chest, two views",71046.0,1091.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
101,,,,,,,
102,"Echocardiography, Transthoracic, complete, without Doppler",93307.0,2921.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
103,,,,,,,
104,"Inhalation Treatment, pressurized or nonpressurized",94640.0,315.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
105,"Physical Therapy, Gait Training",97116.0,298.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
106,"Physical Therapy, Therapeutic Exercise",97110.0,259.0,Childrens Hospital at Mission,33.560996,-117.665455,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
107,,,,,,,
108,,,,,,,
109,,,,,,,
110,,,,,,,
111,,,,,,,
112,,,,,,,
113,,,,,,,
114,,,,,,,
115,,,,,,,
116,,,,,,,
117,,,,,,,
118,,,,,,,
119,,,,,,,
120,,,,,,,
121,,,,,,,
122,,,,,,,
123,"Emergency Room Visit, Level 2 (low to moderate severity)",99282.0,618.0,Adventist Health Bakersfield,35.3844224,-119.0191826,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
124,"Emergency Room Visit, Level 3 (moderate severity)",99283.0,987.0,Adventist Health Bakersfield,35.3844224,-119.0191826,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
125,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284.0,1293.0,Adventist Health Bakersfield,35.3844224,-119.0191826,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
126,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285.0,2348.0,Adventist Health Bakersfield,35.3844224,-119.0191826,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
127,"Outpatient Visit, established patient, 15 minutes",99213.0,303.0,Adventist Health Bakersfield,35.3844224,-119.0191826,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
128,Basic Metabolic Panel,80048.0,410.0,Adventist Health Bakersfield,35.3844224,-119.0191826,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
129,"Blood Gas Analysis, including 02 saturation",82805.0,384.0,Adventist Health Bakersfield,35.3844224,-119.0191826,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
130,"Complete Blood Count, automated",85027.0,125.0,Adventist Health Bakersfield,35.3844224,-119.0191826,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
131,"Complete Blood Count, with differential WBC, automated",85025.0,170.0,Adventist Health Bakersfield,35.3844224,-119.0191826,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
132,Comprehensive Metabolic Panel,80053.0,89.0,Adventist Health Bakersfield,35.3844224,-119.0191826,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
133,"Creatine Kinase (CK), (CPK), Total",82550.0,147.0,Adventist Health Bakersfield,35.3844224,-119.0191826,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
134,Lipid Panel,80061.0,180.0,Adventist Health Bakersfield,35.3844224,-119.0191826,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
135,Partial Thromboplastin Time,85730.0,60.0,Adventist Health Bakersfield,35.3844224,-119.0191826,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
136,Prothrombin Time,85610.0,108.0,Adventist Health Bakersfield,35.3844224,-119.0191826,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
137,Thyroid Stimulating Hormone,84443.0,176.0,Adventist Health Bakersfield,35.3844224,-119.0191826,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
138,"Troponin, Quantitative",84484.0,212.0,Adventist Health Bakersfield,35.3844224,-119.0191826,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
139,"CT Scan, Abdomen, with contrast",74160.0,458.0,Adventist Health Bakersfield,35.3844224,-119.0191826,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
140,"CT Scan, Head or Brain, without contrast",70450.0,3391.0,Adventist Health Bakersfield,35.3844224,-119.0191826,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
